Date,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,Block,ReusedCount,Serial,Class,UsedLandingPad
2010-06-04,6104.959411764706,LEO,CCAFS SLC 40,1,0,0,0,1.0,0,B0003,0,0
2012-05-22,525.0,LEO,CCAFS SLC 40,1,0,0,0,1.0,0,B0005,0,0
2013-03-01,677.0,ISS,CCAFS SLC 40,1,0,0,0,1.0,0,B0007,0,0
2013-09-29,500.0,PO,VAFB SLC 4E,1,0,0,0,1.0,0,B1003,0,0
2013-12-03,3170.0,GTO,CCAFS SLC 40,1,0,0,0,1.0,0,B1004,0,0
2014-01-06,3325.0,GTO,CCAFS SLC 40,1,0,0,0,1.0,0,B1005,0,0
2014-04-18,2296.0,ISS,CCAFS SLC 40,1,0,0,1,1.0,0,B1006,1,0
2014-07-14,1316.0,LEO,CCAFS SLC 40,1,0,0,1,1.0,0,B1007,1,0
2014-08-05,4535.0,GTO,CCAFS SLC 40,1,0,0,0,1.0,0,B1008,0,0
2014-09-07,4428.0,GTO,CCAFS SLC 40,1,0,0,0,1.0,0,B1011,0,0
2014-09-21,2216.0,ISS,CCAFS SLC 40,1,0,0,0,1.0,0,B1010,0,0
2015-01-10,2395.0,ISS,CCAFS SLC 40,1,1,0,1,1.0,0,B1012,0,1
2015-02-11,570.0,ES-L1,CCAFS SLC 40,1,1,0,1,1.0,0,B1013,1,0
2015-04-14,1898.0,ISS,CCAFS SLC 40,1,1,0,1,1.0,0,B1015,0,1
2015-04-27,4707.0,GTO,CCAFS SLC 40,1,0,0,0,1.0,0,B1016,0,0
2015-06-28,2477.0,ISS,CCAFS SLC 40,1,1,0,1,1.0,0,B1018,0,1
2015-12-22,2034.0,LEO,CCAFS SLC 40,1,1,0,1,1.0,0,B1019,1,1
2016-01-17,553.0,PO,VAFB SLC 4E,1,1,0,1,1.0,0,B1017,0,1
2016-03-04,5271.0,GTO,CCAFS SLC 40,1,1,0,1,1.0,0,B1020,0,1
2016-04-08,3136.0,ISS,CCAFS SLC 40,1,1,0,1,2.0,1,B1021,1,1
2016-05-06,4696.0,GTO,CCAFS SLC 40,1,1,0,1,2.0,0,B1022,1,1
2016-05-27,3100.0,GTO,CCAFS SLC 40,1,1,0,1,2.0,1,B1023,1,1
2016-07-18,2257.0,ISS,CCAFS SLC 40,1,1,0,1,2.0,1,B1025,1,1
2016-08-14,4600.0,GTO,CCAFS SLC 40,1,1,0,1,2.0,0,B1026,1,1
2016-09-01,5500.0,GTO,CCAFS SLC 40,1,1,0,1,3.0,0,B1028,0,1
2017-01-14,9600.0,PO,VAFB SLC 4E,1,1,0,1,3.0,1,B1029,1,1
2017-02-19,2490.0,ISS,KSC LC 39A,1,1,0,1,3.0,1,B1031,1,1
2017-03-16,5600.0,GTO,KSC LC 39A,1,0,0,0,3.0,0,B1030,0,0
2017-03-30,5300.0,GTO,KSC LC 39A,2,1,1,1,2.0,1,B1021,1,1
2017-05-01,6104.959411764706,LEO,KSC LC 39A,1,1,0,1,3.0,1,B1032,1,1
2017-05-15,6070.0,GTO,KSC LC 39A,1,0,0,0,3.0,0,B1034,0,0
2017-06-03,2708.0,ISS,KSC LC 39A,1,1,0,1,3.0,1,B1035,1,1
2017-06-23,3669.0,GTO,KSC LC 39A,2,1,1,1,3.0,1,B1029,1,1
2017-06-25,9600.0,PO,VAFB SLC 4E,1,1,0,1,3.0,1,B1036,1,1
2017-07-05,6761.0,GTO,KSC LC 39A,1,0,0,0,3.0,0,B1037,0,0
2017-08-14,2910.0,ISS,KSC LC 39A,1,1,0,1,4.0,1,B1039,1,1
2017-08-24,475.0,SSO,VAFB SLC 4E,1,1,0,1,3.0,1,B1038,1,1
2017-09-07,4990.0,LEO,KSC LC 39A,1,1,0,1,4.0,1,B1040,1,1
2017-10-09,9600.0,PO,VAFB SLC 4E,1,1,0,1,4.0,1,B1041,1,1
2017-10-11,5200.0,GTO,KSC LC 39A,2,1,1,1,3.0,1,B1031,1,1
2017-10-30,3700.0,GTO,KSC LC 39A,1,1,0,1,4.0,0,B1042,1,1
2017-12-15,2205.0,ISS,CCAFS SLC 40,2,1,1,1,3.0,1,B1035,1,1
2017-12-23,9600.0,PO,VAFB SLC 4E,2,1,1,0,3.0,1,B1036,1,0
2018-01-08,6104.959411764706,LEO,CCAFS SLC 40,1,1,0,1,4.0,1,B1043,1,1
2018-01-31,4230.0,GTO,CCAFS SLC 40,2,1,1,1,3.0,1,B1032,1,0
2018-03-06,6092.0,GTO,CCAFS SLC 40,1,1,0,1,4.0,0,B1044,0,0
2018-03-30,9600.0,PO,VAFB SLC 4E,2,1,1,1,4.0,1,B1041,0,0
2018-04-02,2760.0,ISS,CCAFS SLC 40,2,1,1,1,4.0,1,B1039,0,0
2018-04-18,350.0,HEO,CCAFS SLC 40,1,1,0,1,4.0,1,B1045,1,1
2018-05-11,3750.0,GTO,KSC LC 39A,1,1,0,1,5.0,3,B1046,1,1
2018-06-04,5383.85,GTO,CCAFS SLC 40,2,0,1,0,4.0,1,B1040,0,0
2018-06-29,2410.0,ISS,CCAFS SLC 40,2,0,1,0,4.0,1,B1045,0,0
2018-07-22,7076.0,GTO,CCAFS SLC 40,1,1,0,1,5.0,2,B1047,1,1
2018-07-25,9600.0,PO,VAFB SLC 4E,1,1,0,1,5.0,4,B1048,1,1
2018-08-07,5800.0,GTO,CCAFS SLC 40,2,1,1,1,5.0,3,B1046,1,1
2018-09-10,7060.0,GTO,CCAFS SLC 40,1,1,0,1,5.0,5,B1049,1,1
2018-10-08,2800.0,SSO,VAFB SLC 4E,2,1,1,1,5.0,4,B1048,1,1
2018-11-15,3000.0,GTO,KSC LC 39A,2,1,1,1,5.0,2,B1047,1,1
2018-12-03,4000.0,SSO,VAFB SLC 4E,3,1,1,1,5.0,3,B1046,1,1
2018-12-05,2573.0,ISS,CCAFS SLC 40,1,1,0,1,5.0,0,B1050,0,1
2018-12-23,4400.0,MEO,CCAFS SLC 40,1,0,0,0,5.0,0,B1054,0,0
2019-01-11,9600.0,PO,VAFB SLC 4E,2,1,1,1,5.0,5,B1049,1,1
2019-03-02,12259.0,ISS,KSC LC 39A,1,1,0,1,5.0,5,B1051,1,1
2019-05-04,2482.0,ISS,CCAFS SLC 40,1,1,0,1,5.0,3,B1056,1,1
2019-05-24,13620.0,VLEO,CCAFS SLC 40,3,1,1,1,5.0,5,B1049,1,1
2019-06-12,1425.0,SSO,VAFB SLC 4E,2,1,1,1,5.0,5,B1051,1,1
2019-07-25,2227.7,ISS,CCAFS SLC 40,2,1,1,1,5.0,3,B1056,1,1
2019-08-06,6500.0,GTO,CCAFS SLC 40,3,0,1,0,5.0,2,B1047,0,0
2019-11-11,15600.0,VLEO,CCAFS SLC 40,4,1,1,1,5.0,4,B1048,1,1
2019-12-05,5000.0,ISS,CCAFS SLC 40,1,1,0,1,5.0,3,B1059,1,1
2019-12-17,6800.0,GTO,CCAFS SLC 40,3,1,1,1,5.0,3,B1056,1,1
2020-01-07,15400.0,VLEO,CCAFS SLC 40,4,1,1,1,5.0,5,B1049,1,1
2020-01-19,6104.959411764706,SO,KSC LC 39A,4,0,1,0,5.0,3,B1046,0,0
2020-01-29,15600.0,VLEO,CCAFS SLC 40,3,1,1,1,5.0,5,B1051,1,1
2020-02-17,15400.0,VLEO,CCAFS SLC 40,4,1,1,1,5.0,3,B1056,0,1
2020-03-07,1977.0,ISS,CCAFS SLC 40,2,1,1,1,5.0,3,B1059,1,1
2020-03-18,15600.0,VLEO,KSC LC 39A,5,1,1,1,5.0,4,B1048,0,1
2020-04-22,15400.0,VLEO,KSC LC 39A,4,1,1,1,5.0,5,B1051,1,1
2020-05-30,9525.0,ISS,KSC LC 39A,1,1,0,1,5.0,2,B1058,1,1
